"retailer","city","country","latitude","longitude","freq"
"H&M","","Turkey","40.20336","29.07545",1
"H&M","","Turkey","40.206556","29.19019",1
"H&M","","Turkey","40.207859","29.076364",1
"H&M","","Turkey","40.2457581","28.9323557",1
"H&M","","Turkey","40.259072","29.014335",1
"H&M","","Turkey","40.5354412","34.9228384",1
"H&M","","Turkey","40.57194","34.96195",1
"H&M","","Turkey","40.57511","30.86557",1
"H&M","","Turkey","40.7365","31.56515",1
"H&M","","Turkey","40.77355","29.73431",1
"H&M","","Turkey","40.782473","29.350678",1
"H&M","","Turkey","40.8438","31.13904",1
"H&M","","Turkey","40.87076","29.273835",1
"H&M","","Turkey","40.884279","29.337674",1
"H&M","","Turkey","40.89199","26.90457",1
"H&M","","Turkey","40.8986115","29.3722112",1
"H&M","","Turkey","40.91404","31.147039",1
"H&M","","Turkey","40.942332","29.114212",1
"H&M","","Turkey","40.963329","29.286187",1
"H&M","","Turkey","40.971321","34.802312",1
"H&M","","Turkey","40.9787","29.20768",1
"H&M","","Turkey","40.980788","27.546745",2
"H&M","","Turkey","40.98486","28.69885",1
"H&M","","Turkey","40.984904","29.24508",1
"H&M","","Turkey","40.9854","28.632195",1
"H&M","","Turkey","40.988179","29.249284",1
"H&M","","Turkey","40.99012","28.78619",1
"H&M","","Turkey","40.990241","28.78583",1
"H&M","","Turkey","40.993523","28.777295",1
"H&M","","Turkey","40.994196","29.193917",1
"H&M","","Turkey","40.99761","28.71737",1
"H&M","","Turkey","40.99822","28.713659",2
"H&M","","Turkey","41.00155","28.66322",1
"H&M","","Turkey","41.002842","28.678904",1
"H&M","","Turkey","41.00625","28.6779",1
"H&M","","Turkey","41.00726","28.66727",1
"H&M","","Turkey","41.01281","28.81449",1
"H&M","","Turkey","41.01285","28.79001",1
"H&M","","Turkey","41.01342","28.69457",1
"H&M","","Turkey","41.0143","28.69349",2
"H&M","","Turkey","41.014834","29.113119",1
"H&M","","Turkey","41.0155336","29.14412939999999",2
"H&M","","Turkey","41.01669","28.91038",1
"H&M","","Turkey","41.01844","28.836803",1
"H&M","","Turkey","41.01845489999999","29.0946949",1
"H&M","","Turkey","41.019433","29.12545909999999",1
"H&M","","Turkey","41.0195407","28.8150394",1
"H&M","","Turkey","41.019695","28.84048",1
"H&M","","Turkey","41.02191","28.77341",1
"H&M","","Turkey","41.023249","29.117381",1
"H&M","","Turkey","41.02703","28.58612",2
"H&M","","Turkey","41.02713","28.68738",1
"H&M","","Turkey","41.02758","28.80965",1
"H&M","","Turkey","41.02859","29.08044",1
"H&M","","Turkey","41.02945","28.768299",1
"H&M","","Turkey","41.0303","29.1065",1
"H&M","","Turkey","41.03234","37.4994",5
"H&M","","Turkey","41.032404","28.837723",1
"H&M","","Turkey","41.0343177","28.6614809",1
"H&M","","Turkey","41.03653","28.72782",1
"H&M","","Turkey","41.0398468","28.8162011",1
"H&M","","Turkey","41.0409939","28.8165957",1
"H&M","","Turkey","41.04434","28.819462",1
"H&M","","Turkey","41.0456474","28.82472199999999",1
"H&M","","Turkey","41.045779","28.847516",1
"H&M","","Turkey","41.04578","28.65048",1
"H&M","","Turkey","41.04608","28.91119",1
"H&M","","Turkey","41.049278","28.872951",1
"H&M","","Turkey","41.04938","28.67205",1
"H&M","","Turkey","41.057336","28.870225",1
"H&M","","Turkey","41.05974","28.980976",1
"H&M","","Turkey","41.06212","28.65432",2
"H&M","","Turkey","41.06491","28.90058",1
"H&M","","Turkey","41.06645","28.66081",2
"H&M","","Turkey","41.067232","28.925404",1
"H&M","","Turkey","41.07493909999999","28.9784328",1
"H&M","","Turkey","41.07519","28.24377",1
"H&M","","Turkey","41.07561","28.07289",1
"H&M","","Turkey","41.0814028","28.9819731",1
"H&M","","Turkey","41.082182","28.913317",1
"H&M","","Turkey","41.082488","28.999725",1
"H&M","","Turkey","41.08581","29.1362",1
"H&M","","Turkey","41.085918","28.96857",2
"H&M","","Turkey","41.08593","31.12004099999999",1
"H&M","","Turkey","41.09143","27.81626",1
"H&M","","Turkey","41.092214","28.77225679999999",1
"H&M","","Turkey","41.0929097","28.8641407",1
"H&M","","Turkey","41.099938","28.871764",1
"H&M","","Turkey","41.10367","28.88529",1
"H&M","","Turkey","41.137685","29.085884",1
"H&M","","Turkey","41.1716","27.80114",1
"H&M","","Turkey","41.184246","28.768094",1
"H&M","","Turkey","41.194139","32.616366",1
"H&M","","Turkey","41.21143","27.83278",1
"H&M","","Turkey","41.23062","27.86676",1
